테이블명,설명
mbp.loc_cms2,
mbp.parking_index_bizmstr_index,
mbp.parking_index_bizmstr_open_cnt,
mbp.parking_index_car_week_score_sum,
mbp.parking_index_car_weekend_score_sum,
mbp.parking_index_dmm_flspnr_cnt,
mbp.parking_index_dmm_m_flspnr_cnt,
mbp.parking_index_dmp_wk_plc_pop_sum,
mbp.parking_index_flspnr_index,
mbp.parking_index_gu_sigun_match,
mbp.parking_index_index_300m,
mbp.parking_index_m_flspnr_index,
mbp.parking_index_match_index_ingu,
mbp.parking_index_parking_cnt,
mbp.parking_index_parking_index,
mbp.parking_index_tmap_week_cnt,
mbp.parking_index_tmap_weekend_cnt,
mbp.parking_index_vehicle_per,
mbp.parking_index_week_car_index,
mbp.parking_index_week_tmap_index,
mbp.parking_index_weekend_car_index,
mbp.parking_index_weekend_tmap_index,
mbp.parking_index_wk_plc_pop_index,
mbp.parking_stay_ingu,
mbp.parking_time_monthly,
mbp.parking_time_monthly_car,
mbp.parking_time_monthly_rate,
mbp.parking_time_xy,
mbp.parking_time_xy_monthly,
mbp.parking_time_xy_monthly_t,
mbp.parking_time_xy_monthly_t2,
mbp.parking_tmp,
mbp.quarter_biz_income,
mbp.quarter_dmm_adong,
mbp.quarter_dmm_aphus_dong,
mbp.quarter_dmm_aphus_ho,
mbp.quarter_dmm_aphus_hsmp,
mbp.quarter_dmm_flspnr,
mbp.quarter_dmm_gungu,
mbp.quarter_dmm_ldong,
mbp.quarter_dmm_sido,
mbp.quarter_dmp_sex_age_pop,
mbp.quarter_dmp_wk_plc_pop,
mbp.quarter_xxx_biz_std_land_price,
mbp.query_hive_16500,
mbp.query_hive_18414,
mbp.query_hive_20730,
mbp.r114_apt_bas_value_hsmp_info,
mbp.r114_dmr_apt_base,
mbp.r114_dmr_apt_owner_base,
mbp.r114_dmr_apt_owner_price,
mbp.r114_dmr_apt_owner_size,
mbp.r114_dmr_apt_price,
mbp.r114_dmr_apt_sale_plan,
mbp.r114_dmr_apt_sale_plan_size,
mbp.r114_dmr_apt_size,
mbp.r114_dmr_bz_area_price,
mbp.r114_dmr_housing,
mbp.r114_dmr_offc_base,
mbp.r114_dmr_offc_price,
mbp.r114_dmr_offc_size,
mbp.r114_dmr_shop_owner,
mbp.r114_dmr_shop_owner_detl,
mbp.r114_dmr_shop_rent,
mbp.r114_dmr_shop_sale,
mbp.r114_shop_rent_so_area,
mbp.rto,- RTO 데이터
mbp.rto_adm_code_daily,
